Year,"Meat, eggs, and nuts",Dairy,Fruit,Vegetables,Flour and cereal products,Added fats and oils and dairy fats,Sugar and sweeteners (Added),Total
1970,509,250,71,135,410,346,333,"2,054"
1971,516,251,73,133,404,342,335,"2,054"
1972,515,249,69,133,399,353,339,"2,057"
1973,486,247,72,133,411,357,340,"2,046"
1974,503,241,73,128,406,349,329,"2,028"
1975,494,240,76,132,416,351,318,"2,025"
1976,516,241,77,132,430,367,335,"2,099"
1977,512,240,78,132,417,353,342,"2,074"
1978,506,239,78,127,427,364,339,"2,079"
1979,501,237,77,130,431,372,342,"2,089"
1980,496,233,83,127,437,372,335,"2,084"
1981,501,231,79,126,437,370,334,"2,079"
1982,495,234,81,129,436,372,328,"2,076"
1983,505,238,88,131,438,387,333,"2,120"
1984,509,242,85,131,448,402,340,"2,157"
1985,518,246,86,134,476,424,352,"2,236"
1986,515,247,89,136,490,431,347,"2,256"
1987,511,249,91,134,513,427,359,"2,284"
1988,517,245,89,135,526,433,363,"2,308"
1989,508,241,91,136,521,413,358,"2,268"
1990,501,241,88,136,541,411,369,"2,287"
1991,504,241,87,143,543,419,370,"2,307"
1992,512,241,91,142,551,433,378,"2,347"
1993,509,237,93,146,567,453,386,"2,392"
1994,514,240,94,146,571,443,394,"2,402"
1995,512,239,91,146,567,434,401,"2,388"
1996,509,237,93,150,588,424,403,"2,404"
1997,508,236,94,146,589,427,413,"2,412"
1998,521,235,95,143,582,425,416,"2,419"
1999,538,238,98,146,586,444,423,"2,472"
2000,534,237,94,146,596,537,415,"2,561"
2001,530,236,92,146,584,548,410,"2,546"
2002,546,237,91,141,573,577,408,"2,574"
2003,547,237,92,146,575,575,394,"2,566"
2004,554,238,92,143,570,573,395,"2,566"
2005,546,238,90,137,571,573,396,"2,551"
2006,550,237,89,139,580,571,387,"2,554"
2007,548,237,89,138,589,584,377,"2,562"
2008,534,234,86,131,586,594,378,"2,543"
2009,527,237,84,126,580,551,363,"2,469"
2010,526,235,86,130,581,575,367,"2,501"
2011,515,233,84,125,520,NA,361,NA
2012,513,234,82,130,525,NA,361,NA
2013,515,230,86,128,527,NA,358,NA
2014,514,229,85,130,526,NA,361,NA
2015,532,233,85,133,521,NA,361,NA
2016,544,235,85,132,518,NA,358,NA
2017,554,236,83,138,522,NA,356,NA